id;name;description;price;item_size;image;image_content_type
1;abaft likewise but;heroine;19481.14;M;../fake-data/blob/hipster.png;image/png
2;since fluctuate against;till handful oddly;10816.62;L;../fake-data/blob/hipster.png;image/png
3;supposing;until zowie yuck;19824.21;XXL;../fake-data/blob/hipster.png;image/png
4;kiddingly venom;probate chow merit;25095.46;M;../fake-data/blob/hipster.png;image/png
5;rule pish hmph;procrastinate provided;12297.32;XXL;../fake-data/blob/hipster.png;image/png
6;inside against;transparency underneath;2572.69;S;../fake-data/blob/hipster.png;image/png
7;near hydrolyse atop;quick hm;17397.97;XL;../fake-data/blob/hipster.png;image/png
8;beloved failing;sinful brr;26210.68;M;../fake-data/blob/hipster.png;image/png
9;tectonics;outside;20894.79;S;../fake-data/blob/hipster.png;image/png
10;corny mid;short-term portly;1213.82;L;../fake-data/blob/hipster.png;image/png
